Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
Karasjok - Markannjarga,SN97251,26.09.2005,7
Karasjok - Markannjarga,SN97251,27.09.2005,6.6
Karasjok - Markannjarga,SN97251,28.09.2005,10.5
Karasjok - Markannjarga,SN97251,29.09.2005,7
Karasjok - Markannjarga,SN97251,30.09.2005,5.2
Karasjok - Markannjarga,SN97251,01.10.2005,8.6
Karasjok - Markannjarga,SN97251,02.10.2005,8.8
Karasjok - Markannjarga,SN97251,03.10.2005,4.3
Karasjok - Markannjarga,SN97251,04.10.2005,2
Karasjok - Markannjarga,SN97251,05.10.2005,7.4
Karasjok - Markannjarga,SN97251,06.10.2005,5
Karasjok - Markannjarga,SN97251,07.10.2005,6.1
Karasjok - Markannjarga,SN97251,08.10.2005,8.6
Karasjok - Markannjarga,SN97251,09.10.2005,10
Karasjok - Markannjarga,SN97251,10.10.2005,5.7
Karasjok - Markannjarga,SN97251,11.10.2005,10.1
Karasjok - Markannjarga,SN97251,12.10.2005,8.5
Karasjok - Markannjarga,SN97251,13.10.2005,7.6
Karasjok - Markannjarga,SN97251,14.10.2005,6
Karasjok - Markannjarga,SN97251,15.10.2005,2.3
Karasjok - Markannjarga,SN97251,16.10.2005,0.4
Karasjok - Markannjarga,SN97251,17.10.2005,4.2
Karasjok - Markannjarga,SN97251,18.10.2005,0.7
Karasjok - Markannjarga,SN97251,19.10.2005,-1.6
Karasjok - Markannjarga,SN97251,20.10.2005,-0.8
Karasjok - Markannjarga,SN97251,21.10.2005,0.5
Karasjok - Markannjarga,SN97251,22.10.2005,-1.7
Karasjok - Markannjarga,SN97251,23.10.2005,-9
Karasjok - Markannjarga,SN97251,24.10.2005,-14.4
Karasjok - Markannjarga,SN97251,25.10.2005,-17.1
Karasjok - Markannjarga,SN97251,26.10.2005,-16.8
Karasjok - Markannjarga,SN97251,27.10.2005,-22.3
Karasjok - Markannjarga,SN97251,28.10.2005,-4.3
Karasjok - Markannjarga,SN97251,29.10.2005,3.8
Karasjok - Markannjarga,SN97251,30.10.2005,3.7
Karasjok - Markannjarga,SN97251,31.10.2005,4.4
Karasjok - Markannjarga,SN97251,01.11.2005,3.6
Karasjok - Markannjarga,SN97251,02.11.2005,5
Karasjok - Markannjarga,SN97251,03.11.2005,0
Karasjok - Markannjarga,SN97251,04.11.2005,2.2
Karasjok - Markannjarga,SN97251,05.11.2005,-1
Karasjok - Markannjarga,SN97251,06.11.2005,-10.2
Karasjok - Markannjarga,SN97251,07.11.2005,-2.5
Karasjok - Markannjarga,SN97251,08.11.2005,-0.8
Karasjok - Markannjarga,SN97251,09.11.2005,-0.6
Karasjok - Markannjarga,SN97251,10.11.2005,-1.2
Karasjok - Markannjarga,SN97251,11.11.2005,-2.6
Karasjok - Markannjarga,SN97251,12.11.2005,-2.5
Karasjok - Markannjarga,SN97251,13.11.2005,-5.4
Karasjok - Markannjarga,SN97251,14.11.2005,-17.1
Karasjok - Markannjarga,SN97251,15.11.2005,-12.5
Karasjok - Markannjarga,SN97251,16.11.2005,-5.6
Karasjok - Markannjarga,SN97251,17.11.2005,-4.5
Karasjok - Markannjarga,SN97251,18.11.2005,-3.8
Karasjok - Markannjarga,SN97251,19.11.2005,-2.8
Karasjok - Markannjarga,SN97251,20.11.2005,-5.2
Karasjok - Markannjarga,SN97251,21.11.2005,-6.8
Karasjok - Markannjarga,SN97251,22.11.2005,-5
Karasjok - Markannjarga,SN97251,23.11.2005,-4.3
Karasjok - Markannjarga,SN97251,24.11.2005,-9
Karasjok - Markannjarga,SN97251,25.11.2005,-10.2
Karasjok - Markannjarga,SN97251,26.11.2005,-18.5
Karasjok - Markannjarga,SN97251,27.11.2005,-9.8
Karasjok - Markannjarga,SN97251,28.11.2005,-6.9
Karasjok - Markannjarga,SN97251,29.11.2005,-1.4
Karasjok - Markannjarga,SN97251,30.11.2005,-5
Karasjok - Markannjarga,SN97251,01.12.2005,-14.3
Karasjok - Markannjarga,SN97251,02.12.2005,-26.8
Karasjok - Markannjarga,SN97251,03.12.2005,-28.7
Karasjok - Markannjarga,SN97251,04.12.2005,-19.8
Karasjok - Markannjarga,SN97251,05.12.2005,-9
Karasjok - Markannjarga,SN97251,06.12.2005,-16.6
Karasjok - Markannjarga,SN97251,07.12.2005,-19.1
Karasjok - Markannjarga,SN97251,08.12.2005,-23.1
Karasjok - Markannjarga,SN97251,09.12.2005,-12.3
Karasjok - Markannjarga,SN97251,10.12.2005,-11.9
Karasjok - Markannjarga,SN97251,11.12.2005,-13.4
Karasjok - Markannjarga,SN97251,12.12.2005,-5.7
Karasjok - Markannjarga,SN97251,13.12.2005,-15.9
Karasjok - Markannjarga,SN97251,16.12.2005,-19.9
Karasjok - Markannjarga,SN97251,17.12.2005,-2.6
Karasjok - Markannjarga,SN97251,18.12.2005,-2.7
Karasjok - Markannjarga,SN97251,19.12.2005,-14.6
